Program,Total Admits,Auto-Admit,First Choice,Auto-Entry,1Number Selected,1Number Denied,Second Choice,2Selected,2Denied,Third Choice,2Selected,2Denied,"Fourth, Fifth and not original choice",2Selected,2Denied
Computer Science (GV),10,0,10,0,10,1,0,0,0,0,0,0,0,0,0
Ocean (GV),4,1,2,1,2,0,1,1,0,0,0,0,0,0,0
Interdisciplinary (GV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multidisciplinary (GV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interdisciplinary (MA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multidisciplinary (GV),4,0,3,0,3,0,0,0,0,1,1,0,0,0,0
Architectural,62,8,36,8,36,2,15,15,3,2,2,4,1,1,3
Interdisciplinary (CS),25,5,16,5,16,4,3,3,5,1,1,10,0,0,2
Aerospace,192,127,65,127,65,63,0,0,31,0,0,12,0,0,4
Biological and Agricultural,27,6,10,6,10,0,3,3,0,1,1,0,7,7,0
Biomedical,142,68,74,68,74,35,0,0,5,0,0,5,0,0,0
Chemical,195,75,100,75,100,3,13,13,4,3,3,3,4,4,0
Civil,158,33,96,33,96,34,18,18,13,8,8,9,3,3,3
Environmental,22,1,15,1,15,5,4,4,4,1,1,4,1,1,1
Computer Science (CS),360,302,58,302,58,178,0,0,28,0,0,11,0,0,2
Computer,152,70,82,70,82,80,0,0,147,0,0,17,0,0,2
Electrical,345,71,141,71,141,5,59,59,20,69,69,28,5,5,7
Electronic Systems,69,3,22,3,22,2,12,12,1,22,22,0,10,10,0
Industrial Distribution,104,3,64,3,64,0,10,10,0,7,7,0,20,20,0
Manufacturing and Mechanical,63,2,19,2,19,0,17,17,1,8,8,0,17,17,0
Multidisciplinary (CS),65,7,24,7,24,0,8,8,1,15,15,0,11,11,0
Industrial and Systems,174,23,84,23,84,5,34,34,1,30,30,4,3,3,3
Materials Science,60,11,32,11,32,0,8,8,2,8,8,2,1,1,4
Mechanical,391,201,187,201,187,126,3,3,54,0,0,21,0,0,7
Nuclear,43,7,20,7,20,0,5,5,0,2,2,0,9,9,0
Ocean (CS),28,5,14,5,14,1,3,3,0,4,4,2,2,2,0
Petroleum,64,19,30,19,30,0,8,8,0,6,6,0,1,1,0
